YEAR,MONTH,Datetime,Rainfall,Precipitation_Anomaly,SPAI
1911,Jan,01-01-1911,3.577,0.29287142857142845,0.06992183990895169
1911,Feb,01-02-1911,0.0,-3.134014285714285,-0.5088186052213167
1911,Mar,01-03-1911,21.05,15.743428571428574,1.6428988531518403
1911,Apr,01-04-1911,0.0,-3.681514285714286,-0.5528446396470083
1911,May,01-05-1911,0.004,-7.866114285714288,-0.8714322450252131
1911,Jun,01-06-1911,38.845,-10.016242857142863,-0.22390255881116217
1911,Jul,01-07-1911,20.769,-160.19197142857143,-1.7148938662177284
1911,Aug,01-08-1911,33.769,-128.24682857142855,-1.3029817095314415
1911,Sep,01-09-1911,136.674,40.45865714285715,0.5308144323567848
1911,Oct,01-10-1911,0.0,-7.9205999999999985,-0.6751127677501304
1911,Nov,01-11-1911,31.972,23.244685714285716,1.428344276841233
1911,Dec,01-12-1911,1.232,-1.421542857142857,-0.3129583676355525
1912,Jan,01-01-1912,1.65,-1.6341285714285716,-0.3901414245814882
1912,Feb,01-02-1912,0.089,-3.0450142857142852,-0.4943691318825645
1912,Mar,01-03-1912,0.087,-5.219571428571428,-0.5446861765236181
1912,Apr,01-04-1912,1.152,-2.529514285714286,-0.37985141581390097
1912,May,01-05-1912,1.03,-6.840114285714288,-0.7577688210117035
1912,Jun,01-06-1912,62.467,13.605757142857136,0.3041423697785557
1912,Jul,01-07-1912,196.551,15.590028571428547,0.1668950330836215
1912,Aug,01-08-1912,231.075,69.05917142857143,0.701637913772721
1912,Sep,01-09-1912,68.823,-27.392342857142864,-0.35938540602808294
1912,Oct,01-10-1912,19.958,12.0374,1.026008437557182
1912,Nov,01-11-1912,55.868,47.140685714285716,2.896710649221205
1912,Dec,01-12-1912,0.41,-2.243542857142857,-0.49392496804707414
1913,Jan,01-01-1913,0.0,-3.2841285714285715,-0.7840720869630277
1913,Feb,01-02-1913,3.473,0.33898571428571467,0.055035562256059656
1913,Mar,01-03-1913,1.401,-3.9055714285714282,-0.407564260338265
1913,Apr,01-04-1913,0.0,-3.681514285714286,-0.5528446396470083
1913,May,01-05-1913,12.739,4.868885714285713,0.5393900793529992
1913,Jun,01-06-1913,50.94,2.0787571428571354,0.04646842634219649
1913,Jul,01-07-1913,96.399,-84.56197142857144,-0.9052563922206119
1913,Aug,01-08-1913,58.362,-103.65382857142856,-1.0531179932941284
1913,Sep,01-09-1913,72.984,-23.231342857142863,-0.3047934099260442
1913,Oct,01-10-1913,0.0,-7.9205999999999985,-0.6751127677501304
1913,Nov,01-11-1913,0.047,-8.680314285714283,-0.5333897555587662
1913,Dec,01-12-1913,1.797,-0.856542857142857,-0.1885713491045189
1914,Jan,01-01-1914,0.0,-3.2841285714285715,-0.7840720869630277
1914,Feb,01-02-1914,3.628,0.4939857142857149,0.0802003753741112
1914,Mar,01-03-1914,0.184,-5.122571428571428,-0.5345637824064342
1914,Apr,01-04-1914,4.707,1.025485714285714,0.15399486085857855
1914,May,01-05-1914,14.813,6.942885714285713,0.7691541547955127
1914,Jun,01-06-1914,96.292,47.43075714285714,1.0602646163938798
1914,Jul,01-07-1914,148.925,-32.03597142857143,-0.34295283597080983
1914,Aug,01-08-1914,117.045,-44.970828571428555,-0.45690149022601045
1914,Sep,01-09-1914,104.604,8.388657142857141,0.11005852872967958
1914,Oct,01-10-1914,2.955,-4.9655999999999985,-0.42324318353913176
1914,Nov,01-11-1914,37.954,29.226685714285715,1.7959274555982199
1914,Dec,01-12-1914,0.4,-2.253542857142857,-0.49612650819806603
1915,Jan,01-01-1915,5.017,1.7328714285714288,0.41371587253284053
1915,Feb,01-02-1915,5.559,2.424985714285715,0.39370524073512886
1915,Mar,01-03-1915,28.074,22.767428571428574,2.375885412730167
1915,Apr,01-04-1915,2.252,-1.4295142857142862,-0.2146669138899271
1915,May,01-05-1915,3.097,-4.773114285714287,-0.5287802270195743
1915,Jun,01-06-1915,30.884,-17.977242857142862,-0.4018623283693174
1915,Jul,01-07-1915,75.883,-105.07797142857144,-1.124885142934943
1915,Aug,01-08-1915,45.145,-116.87082857142855,-1.1874020878539047
1915,Sep,01-09-1915,33.34,-62.875342857142854,-0.8249196039825749
1915,Oct,01-10-1915,53.144,45.2234,3.854618935569218
1915,Nov,01-11-1915,0.182,-8.545314285714284,-0.5250942475125955
1915,Dec,01-12-1915,0.339,-2.314542857142857,-0.5095559031191155
1916,Jan,01-01-1916,0.0,-3.2841285714285715,-0.7840720869630277
1916,Feb,01-02-1916,0.838,-2.296014285714285,-0.3727662607508182
1916,Mar,01-03-1916,0.184,-5.122571428571428,-0.5345637824064342
1916,Apr,01-04-1916,0.198,-3.483514285714286,-0.5231114293006931
1916,May,01-05-1916,23.329,15.458885714285714,1.7125827307205113
1916,Jun,01-06-1916,34.946,-13.915242857142864,-0.31106059693542376
1916,Jul,01-07-1916,125.972,-54.988971428571446,-0.588670262133124
1916,Aug,01-08-1916,304.538,142.52217142857145,1.4480185174380606
1916,Sep,01-09-1916,140.098,43.882657142857155,0.575737045827917
1916,Oct,01-10-1916,10.985,3.064400000000001,0.26119429910530767
1916,Nov,01-11-1916,2.471,-6.256314285714284,-0.38443929997418996
1916,Dec,01-12-1916,0.0,-2.653542857142857,-0.5841881142377359
1917,Jan,01-01-1917,1.065,-2.2191285714285716,-0.5298077503349432
1917,Feb,01-02-1917,9.959,6.824985714285715,1.108061226021756
1917,Mar,01-03-1917,0.281,-5.025571428571428,-0.5244413882892507
1917,Apr,01-04-1917,17.575,13.893485714285713,2.086353197911032
1917,May,01-05-1917,59.422,51.55188571428571,5.711075872899919
1917,Jun,01-06-1917,198.547,149.68575714285714,3.3460674346540777
1917,Jul,01-07-1917,243.632,62.671028571428565,0.6709085450928538
1917,Aug,01-08-1917,386.326,224.31017142857146,2.278980727156981
1917,Sep,01-09-1917,242.147,145.93165714285715,1.9146119821934438
1917,Oct,01-10-1917,28.464,20.5434,1.751017805847793
1917,Nov,01-11-1917,0.039,-8.688314285714284,-0.5338813412207617
1917,Dec,01-12-1917,17.203,14.549457142857143,3.203121407513388
1918,Jan,01-01-1918,1.202,-2.0821285714285716,-0.4970995680644759
1918,Feb,01-02-1918,0.0,-3.134014285714285,-0.5088186052213167
1918,Mar,01-03-1918,3.291,-2.015571428571428,-0.2103341069209767
1918,Apr,01-04-1918,0.0,-3.681514285714286,-0.5528446396470083
1918,May,01-05-1918,9.594,1.7238857142857116,0.19097734200164618
1918,Jun,01-06-1918,15.226,-33.63524285714286,-0.7518804255608255
1918,Jul,01-07-1918,25.44,-155.52097142857144,-1.6648896795055703
1918,Aug,01-08-1918,60.958,-101.05782857142856,-1.0267427561391633
1918,Sep,01-09-1918,11.76,-84.45534285714285,-1.108047524165703
1918,Oct,01-10-1918,0.0,-7.9205999999999985,-0.6751127677501304
1918,Nov,01-11-1918,3.457,-5.270314285714284,-0.32385136713326895
1918,Dec,01-12-1918,0.0,-2.653542857142857,-0.5841881142377359
1919,Jan,01-01-1919,10.558,7.273871428571429,1.7366066605668466
1919,Feb,01-02-1919,0.0,-3.134014285714285,-0.5088186052213167
1919,Mar,01-03-1919,0.286,-5.0205714285714285,-0.5239196153966126
1919,Apr,01-04-1919,31.999,28.317485714285713,4.252372521321931
1919,May,01-05-1919,6.123,-1.7471142857142876,-0.19355067432475923
1919,Jun,01-06-1919,20.565,-28.29624285714286,-0.6325327042103679
1919,Jul,01-07-1919,208.245,27.284028571428564,0.292082136361716
1919,Aug,01-08-1919,149.909,-12.106828571428565,-0.12300480537979201
1919,Sep,01-09-1919,50.918,-45.29734285714286,-0.594297612278264
1919,Oct,01-10-1919,3.875,-4.0455999999999985,-0.34482693397090225
1919,Nov,01-11-1919,21.571,12.843685714285717,0.7892214680395923
1919,Dec,01-12-1919,1.025,-1.628542857142857,-0.35853024876108175
1920,Jan,01-01-1920,3.737,0.4528714285714286,0.1081211768671618
1920,Feb,01-02-1920,3.83,0.6959857142857149,0.11299580924408836
1920,Mar,01-03-1920,1.908,-3.398571428571428,-0.35465648902473856
1920,Apr,01-04-1920,0.0,-3.681514285714286,-0.5528446396470083
1920,May,01-05-1920,29.171,21.300885714285712,2.3597773925986023
1920,Jun,01-06-1920,146.164,97.30275714285713,2.1751006454611232
1920,Jul,01-07-1920,141.925,-39.03597142857143,-0.4178895319641963
1920,Aug,01-08-1920,29.881,-132.13482857142856,-1.342483605547815
1920,Sep,01-09-1920,17.026,-79.18934285714286,-1.0389580140783838
1920,Oct,01-10-1920,0.0,-7.9205999999999985,-0.6751127677501304
1920,Nov,01-11-1920,0.039,-8.688314285714284,-0.5338813412207617
1920,Dec,01-12-1920,0.0,-2.653542857142857,-0.5841881142377359
1921,Jan,01-01-1921,2.264,-1.0201285714285717,-0.24355146900435787
1921,Feb,01-02-1921,0.0,-3.134014285714285,-0.5088186052213167
1921,Mar,01-03-1921,0.0,-5.306571428571428,-0.5537650248555248
1921,Apr,01-04-1921,0.04,-3.641514285714286,-0.5468379304861365
1921,May,01-05-1921,0.004,-7.866114285714288,-0.8714322450252131
1921,Jun,01-06-1921,20.897,-27.964242857142864,-0.6251111939109952
1921,Jul,01-07-1921,124.478,-56.482971428571446,-0.6046638941065697
1921,Aug,01-08-1921,74.848,-87.16782857142856,-0.8856210134263478
1921,Sep,01-09-1921,103.106,6.890657142857137,0.09040488533605924
1921,Oct,01-10-1921,0.0,-7.9205999999999985,-0.6751127677501304
1921,Nov,01-11-1921,0.039,-8.688314285714284,-0.5338813412207617
1921,Dec,01-12-1921,0.0,-2.653542857142857,-0.5841881142377359
1922,Jan,01-01-1922,1.424,-1.8601285714285716,-0.44409798803495987
1922,Feb,01-02-1922,0.838,-2.296014285714285,-0.3727662607508182
1922,Mar,01-03-1922,0.036,-5.2705714285714285,-0.5500082600285289
1922,Apr,01-04-1922,0.348,-3.333514285714286,-0.500586269947424
1922,May,01-05-1922,1.304,-6.566114285714288,-0.7274142613823646
1922,Jun,01-06-1922,36.502,-12.35924285714286,-0.2762778558937845
1922,Jul,01-07-1922,174.243,-6.717971428571445,-0.07191751180501624
1922,Aug,01-08-1922,49.711,-112.30482857142856,-1.1410117439210958
1922,Sep,01-09-1922,154.297,58.08165714285714,0.7620268205582336
1922,Oct,01-10-1922,0.602,-7.318599999999998,-0.623801265315267
1922,Nov,01-11-1922,4.715,-4.012314285714284,-0.2465495217845078
1922,Dec,01-12-1922,5.372,2.718457142857143,0.5984792548750307
1923,Jan,01-01-1923,1.949,-1.3351285714285714,-0.3187564136408335
1923,Feb,01-02-1923,6.439,3.304985714285715,0.5365764377924541
1923,Mar,01-03-1923,2.133,-3.173571428571428,-0.3311767088560137
1923,Apr,01-04-1923,0.526,-3.155514285714286,-0.47385641418154445
1923,May,01-05-1923,4.448,-3.4221142857142874,-0.3791123070953525
1923,Jun,01-06-1923,3.636,-45.22524285714286,-1.01096266763833
1923,Jul,01-07-1923,318.651,137.69002857142857,1.4740051160539758
1923,Aug,01-08-1923,178.468,16.452171428571432,0.16715328318286488
1923,Sep,01-09-1923,56.236,-39.97934285714286,-0.5245258662386961
1923,Oct,01-10-1923,1.823,-6.097599999999998,-0.5197292645296056
1923,Nov,01-11-1923,0.039,-8.688314285714284,-0.5338813412207617
1923,Dec,01-12-1923,1.108,-1.5455428571428569,-0.3402574655078502
1924,Jan,01-01-1924,0.985,-2.2991285714285716,-0.5489074188140479
1924,Feb,01-02-1924,2.335,-0.7990142857142852,-0.12972287212034536
1924,Mar,01-03-1924,0.199,-5.107571428571428,-0.5329984637285194
1924,Apr,01-04-1924,0.0,-3.681514285714286,-0.5528446396470083
1924,May,01-05-1924,13.261,5.390885714285711,0.59721883893882
1924,Jun,01-06-1924,28.257,-20.60424285714286,-0.46058614631043954
1924,Jul,01-07-1924,173.095,-7.8659714285714415,-0.08420712994793147
1924,Aug,01-08-1924,96.739,-65.27682857142855,-0.6632094893279857
1924,Sep,01-09-1924,156.313,60.09765714285713,0.7884765836300214
1924,Oct,01-10-1924,6.354,-1.5665999999999984,-0.13352923540607456
1924,Nov,01-11-1924,0.555,-8.172314285714284,-0.5021740660220646
1924,Dec,01-12-1924,20.793,18.139457142857143,3.9934743217194417
1925,Jan,01-01-1925,0.0,-3.2841285714285715,-0.7840720869630277
1925,Feb,01-02-1925,0.0,-3.134014285714285,-0.5088186052213167
1925,Mar,01-03-1925,0.0,-5.306571428571428,-0.5537650248555248
1925,Apr,01-04-1925,0.0,-3.681514285714286,-0.5528446396470083
1925,May,01-05-1925,12.179,4.308885714285712,0.4773515633222336
1925,Jun,01-06-1925,94.669,45.807757142857135,1.0239841609243552
1925,Jul,01-07-1925,189.425,8.464028571428571,0.09060947656235432
1925,Aug,01-08-1925,64.993,-97.02282857142856,-0.9857473470789612
1925,Sep,01-09-1925,10.21,-86.00534285714286,-1.128383403511572
1925,Oct,01-10-1925,0.0,-7.9205999999999985,-0.6751127677501304
1925,Nov,01-11-1925,30.13,21.402685714285717,1.3151566781668156
1925,Dec,01-12-1925,0.042,-2.611542857142857,-0.5749416456035705
1926,Jan,01-01-1926,19.759,16.47487142857143,3.933307281519735
1926,Feb,01-02-1926,0.677,-2.457014285714285,-0.39890519566698807
1926,Mar,01-03-1926,25.67,20.363428571428575,2.1250170059496556
1926,Apr,01-04-1926,6.289,2.6074857142857137,0.39156020817105736
1926,May,01-05-1926,12.529,4.658885714285712,0.5161256358414622
1926,Jun,01-06-1926,11.719,-37.14224285714286,-0.8302757165846226
1926,Jul,01-07-1926,150.411,-30.54997142857144,-0.3270448459356424
1926,Aug,01-08-1926,238.098,76.08217142857146,0.7729912614380995
1926,Sep,01-09-1926,236.959,140.74365714285716,1.846545826034496
1926,Oct,01-10-1926,0.0,-7.9205999999999985,-0.6751127677501304
1926,Nov,01-11-1926,2.272,-6.455314285714284,-0.39666749331632284
1926,Dec,01-12-1926,0.0,-2.653542857142857,-0.5841881142377359
1927,Jan,01-01-1927,0.0,-3.2841285714285715,-0.7840720869630277
1927,Feb,01-02-1927,6.497,3.3629857142857147,0.5459929485075963
1927,Mar,01-03-1927,0.161,-5.1455714285714285,-0.5369639377125706
1927,Apr,01-04-1927,0.348,-3.333514285714286,-0.500586269947424
1927,May,01-05-1927,5.645,-2.2251142857142883,-0.2465049790795913
1927,Jun,01-06-1927,16.276,-32.58524285714286,-0.7284087815417244
1927,Jul,01-07-1927,226.624,45.663028571428555,0.4888337843134941
1927,Aug,01-08-1927,332.879,170.86317142857146,1.7359617363166728
1927,Sep,01-09-1927,73.396,-22.819342857142857,-0.2993880019966905
1927,Oct,01-10-1927,10.979,3.0584000000000007,0.2606828887820366
1927,Nov,01-11-1927,16.942,8.214685714285716,0.5047777143675611
1927,Dec,01-12-1927,12.568,9.914457142857142,2.182707547528691
1928,Jan,01-01-1928,1.271,-2.0131285714285716,-0.480626104001248
1928,Feb,01-02-1928,4.957,1.8229857142857147,0.2959683536572766
1928,Mar,01-03-1928,0.272,-5.034571428571428,-0.5253805794959997
1928,Apr,01-04-1928,0.0,-3.681514285714286,-0.5528446396470083
1928,May,01-05-1928,0.648,-7.222114285714288,-0.8000879515898329
