YEAR,MONTH,Datetime,Rainfall,SPI
1914,Oct,01-10-1914,2.955,-0.4232431835391319
1914,Nov,01-11-1914,37.954,1.7959274555982199
1914,Dec,01-12-1914,0.4,-0.49612650819806603
1915,Jan,01-01-1915,5.017,0.4137158725328408
1915,Feb,01-02-1915,5.559,0.39370524073512886
1915,Mar,01-03-1915,28.074,2.375885412730167
1915,Apr,01-04-1915,2.252,-0.21466691388992723
1915,May,01-05-1915,3.097,-0.5287802270195743
1915,Jun,01-06-1915,30.884,-0.4018623283693173
1915,Jul,01-07-1915,75.883,-1.1248851429349431
1915,Aug,01-08-1915,45.145,-1.1874020878539047
1915,Sep,01-09-1915,33.34,-0.8249196039825749
1915,Oct,01-10-1915,53.144,3.854618935569218
1915,Nov,01-11-1915,0.182,-0.5250942475125955
1915,Dec,01-12-1915,0.339,-0.5095559031191155
1916,Jan,01-01-1916,0.0,-0.7840720869630278
1916,Feb,01-02-1916,0.838,-0.3727662607508182
1916,Mar,01-03-1916,0.184,-0.5345637824064342
1916,Apr,01-04-1916,0.198,-0.5231114293006932
1916,May,01-05-1916,23.329,1.7125827307205113
1916,Jun,01-06-1916,34.946,-0.31106059693542376
1916,Jul,01-07-1916,125.972,-0.5886702621331242
1916,Aug,01-08-1916,304.538,1.4480185174380606
1916,Sep,01-09-1916,140.098,0.575737045827917
1916,Oct,01-10-1916,10.985,0.26119429910530767
1916,Nov,01-11-1916,2.471,-0.38443929997418996
1916,Dec,01-12-1916,0.0,-0.5841881142377359
1917,Jan,01-01-1917,1.065,-0.5298077503349432
1917,Feb,01-02-1917,9.959,1.108061226021756
1917,Mar,01-03-1917,0.281,-0.5244413882892507
1917,Apr,01-04-1917,17.575,2.086353197911032
1917,May,01-05-1917,59.422,5.711075872899919
1917,Jun,01-06-1917,198.547,3.3460674346540777
1917,Jul,01-07-1917,243.632,0.6709085450928536
1917,Aug,01-08-1917,386.326,2.278980727156981
1917,Sep,01-09-1917,242.147,1.9146119821934438
1917,Oct,01-10-1917,28.464,1.751017805847793
1917,Nov,01-11-1917,0.039,-0.5338813412207617
1917,Dec,01-12-1917,17.203,3.203121407513388
1918,Jan,01-01-1918,1.202,-0.4970995680644761
1918,Feb,01-02-1918,0.0,-0.5088186052213167
1918,Mar,01-03-1918,3.291,-0.2103341069209767
1918,Apr,01-04-1918,0.0,-0.5528446396470086
1918,May,01-05-1918,9.594,0.19097734200164618
1918,Jun,01-06-1918,15.226,-0.7518804255608251
1918,Jul,01-07-1918,25.44,-1.6648896795055703
1918,Aug,01-08-1918,60.958,-1.0267427561391633
1918,Sep,01-09-1918,11.76,-1.108047524165703
1918,Oct,01-10-1918,0.0,-0.6751127677501304
1918,Nov,01-11-1918,3.457,-0.32385136713326895
1918,Dec,01-12-1918,0.0,-0.5841881142377359
1919,Jan,01-01-1919,10.558,1.7366066605668466
1919,Feb,01-02-1919,0.0,-0.5088186052213167
1919,Mar,01-03-1919,0.286,-0.5239196153966124
1919,Apr,01-04-1919,31.999,4.252372521321931
1919,May,01-05-1919,6.123,-0.19355067432475923
1919,Jun,01-06-1919,20.565,-0.6325327042103679
1919,Jul,01-07-1919,208.245,0.29208213636171565
1919,Aug,01-08-1919,149.909,-0.12300480537979215
1919,Sep,01-09-1919,50.918,-0.594297612278264
1919,Oct,01-10-1919,3.875,-0.34482693397090225
1919,Nov,01-11-1919,21.571,0.7892214680395923
1919,Dec,01-12-1919,1.025,-0.35853024876108175
1920,Jan,01-01-1920,3.737,0.1081211768671618
1920,Feb,01-02-1920,3.83,0.11299580924408836
1920,Mar,01-03-1920,1.908,-0.3546564890247384
1920,Apr,01-04-1920,0.0,-0.5528446396470086
1920,May,01-05-1920,29.171,2.3597773925986023
1920,Jun,01-06-1920,146.164,2.1751006454611232
1920,Jul,01-07-1920,141.925,-0.4178895319641963
1920,Aug,01-08-1920,29.881,-1.342483605547815
1920,Sep,01-09-1920,17.026,-1.0389580140783838
1920,Oct,01-10-1920,0.0,-0.6751127677501304
1920,Nov,01-11-1920,0.039,-0.5338813412207617
1920,Dec,01-12-1920,0.0,-0.5841881142377359
1921,Jan,01-01-1921,2.264,-0.243551469004358
1921,Feb,01-02-1921,0.0,-0.5088186052213167
1921,Mar,01-03-1921,0.0,-0.5537650248555248
1921,Apr,01-04-1921,0.04,-0.5468379304861366
1921,May,01-05-1921,0.004,-0.8714322450252131
1921,Jun,01-06-1921,20.897,-0.625111193910995
1921,Jul,01-07-1921,124.478,-0.6046638941065697
1921,Aug,01-08-1921,74.848,-0.8856210134263481
1921,Sep,01-09-1921,103.106,0.09040488533605924
1921,Oct,01-10-1921,0.0,-0.6751127677501304
1921,Nov,01-11-1921,0.039,-0.5338813412207617
1921,Dec,01-12-1921,0.0,-0.5841881142377359
1922,Jan,01-01-1922,1.424,-0.44409798803495987
1922,Feb,01-02-1922,0.838,-0.3727662607508182
1922,Mar,01-03-1922,0.036,-0.5500082600285289
1922,Apr,01-04-1922,0.348,-0.500586269947424
1922,May,01-05-1922,1.304,-0.7274142613823646
1922,Jun,01-06-1922,36.502,-0.2762778558937845
1922,Jul,01-07-1922,174.243,-0.07191751180501624
1922,Aug,01-08-1922,49.711,-1.1410117439210958
1922,Sep,01-09-1922,154.297,0.7620268205582336
1922,Oct,01-10-1922,0.602,-0.623801265315267
1922,Nov,01-11-1922,4.715,-0.2465495217845078
1922,Dec,01-12-1922,5.372,0.5984792548750307
1923,Jan,01-01-1923,1.949,-0.3187564136408335
1923,Feb,01-02-1923,6.439,0.5365764377924541
1923,Mar,01-03-1923,2.133,-0.3311767088560136
1923,Apr,01-04-1923,0.526,-0.47385641418154456
1923,May,01-05-1923,4.448,-0.3791123070953525
1923,Jun,01-06-1923,3.636,-1.01096266763833
1923,Jul,01-07-1923,318.651,1.4740051160539758
1923,Aug,01-08-1923,178.468,0.16715328318286488
1923,Sep,01-09-1923,56.236,-0.5245258662386961
1923,Oct,01-10-1923,1.823,-0.5197292645296058
1923,Nov,01-11-1923,0.039,-0.5338813412207617
1923,Dec,01-12-1923,1.108,-0.3402574655078502
1924,Jan,01-01-1924,0.985,-0.5489074188140483
1924,Feb,01-02-1924,2.335,-0.12972287212034536
1924,Mar,01-03-1924,0.199,-0.5329984637285194
1924,Apr,01-04-1924,0.0,-0.5528446396470086
1924,May,01-05-1924,13.261,0.59721883893882
1924,Jun,01-06-1924,28.257,-0.46058614631043954
1924,Jul,01-07-1924,173.095,-0.08420712994793161
1924,Aug,01-08-1924,96.739,-0.663209489327986
1924,Sep,01-09-1924,156.313,0.7884765836300214
1924,Oct,01-10-1924,6.354,-0.13352923540607456
1924,Nov,01-11-1924,0.555,-0.5021740660220646
1924,Dec,01-12-1924,20.793,3.9934743217194417
1925,Jan,01-01-1925,0.0,-0.7840720869630278
1925,Feb,01-02-1925,0.0,-0.5088186052213167
1925,Mar,01-03-1925,0.0,-0.5537650248555248
1925,Apr,01-04-1925,0.0,-0.5528446396470086
1925,May,01-05-1925,12.179,0.4773515633222336
1925,Jun,01-06-1925,94.669,1.0239841609243554
1925,Jul,01-07-1925,189.425,0.09060947656235432
1925,Aug,01-08-1925,64.993,-0.9857473470789612
1925,Sep,01-09-1925,10.21,-1.128383403511572
1925,Oct,01-10-1925,0.0,-0.6751127677501304
1925,Nov,01-11-1925,30.13,1.3151566781668156
1925,Dec,01-12-1925,0.042,-0.5749416456035705
1926,Jan,01-01-1926,19.759,3.933307281519735
1926,Feb,01-02-1926,0.677,-0.39890519566698807
1926,Mar,01-03-1926,25.67,2.1250170059496556
1926,Apr,01-04-1926,6.289,0.39156020817105736
1926,May,01-05-1926,12.529,0.5161256358414622
1926,Jun,01-06-1926,11.719,-0.8302757165846225
1926,Jul,01-07-1926,150.411,-0.3270448459356427
