Year,Rainfall,Month,SPI
1979-12-01,3.5965292916840794,12,0.7379356166006843
1980-01-01,5.240517593221485,1,0.37969715497756973
1980-02-01,5.2427835525468,2,0.688115438469456
1980-03-01,5.3550287265377925,3,0.6280325104363363
1980-04-01,3.257433350694436,4,0.6245379584039757
1980-05-01,9.932566510718466,5,0.6241974809160973
1980-06-01,46.2252718374746,6,0.6241913349989531
1980-07-01,221.66749434236385,7,0.6241912627704841
1980-08-01,178.5760303752256,8,0.624191261993901
1980-09-01,92.87564751958824,9,0.6241912619433407
1980-10-01,8.056986073700031,10,0.6241912619411012
1980-11-01,5.82313960534503,11,0.6241912619378203
1980-12-01,3.5957269936758336,12,0.6241912619373684
1981-01-01,5.239348561500559,1,0.3455118458567409
1981-02-01,5.241614015345588,2,0.5693914912889693
