Year,Rainfall
1986-05-01,9.919279641882781
1986-06-01,46.16343594408937
1986-07-01,221.37096806999668
1986-08-01,178.3371478779141
1986-09-01,92.7514070682114
1986-10-01,8.046208182904465
1986-11-01,5.815349947751032
1986-12-01,3.5909169626649815
1987-01-01,5.232339845571399
1987-02-01,5.234602268901804
1987-03-01,5.34667228601344
1987-04-01,3.2523501757112236
1987-05-01,9.91706689240836
1987-06-01,46.153138006909394
1987-07-01,221.32158560363484
1987-08-01,178.29736520775222
1987-09-01,92.73071649040216
1987-10-01,8.044413270010526
1987-11-01,5.8140526849451595
1987-12-01,3.5901159166305217
1988-01-01,5.2311726381066155
1988-02-01,5.233434556745529
1988-03-01,5.345479573768407
1988-04-01,3.2516246556733015
1988-05-01,9.914854636544405
1988-06-01,46.14284236694815
