Year,Rainfall
1976-08-01,164.6183499252796
1976-09-01,92.43483729034662
1976-10-01,37.00760545246303
1976-11-01,-0.4820811929926276
1976-12-01,-6.056271542198956
1977-01-01,-6.111004249081016
1977-02-01,-4.172599004507065
1977-03-01,-2.1230009412392974
1977-04-01,-1.5467068805545567
1977-05-01,2.3840790968760848
1977-06-01,23.600330117754638
1977-07-01,193.5814204788208
1977-08-01,155.18646209567785
1977-09-01,112.00240707233547
1977-10-01,36.884080788008866
1977-11-01,-3.2888234858959913
1977-12-01,-7.715979776941239
1978-01-01,-7.502903871797025
1978-02-01,-4.810859914049506
1978-03-01,-2.864358515255153
1978-04-01,-1.867875740751624
1978-05-01,1.506716273277998
1978-06-01,21.22964770529419
1978-07-01,205.15334328770638
1978-08-01,150.56191176146268
1978-09-01,113.11192162498831
1978-10-01,24.647793310545385
1978-11-01,-4.947507447265088
1978-12-01,-7.706646381616592
1979-01-01,-7.218040939085185
1979-02-01,-4.322656743898988
1979-03-01,-2.3989496532082555
1979-04-01,-1.5451451171934605
1979-05-01,1.560583587475121
1979-06-01,21.742845850102604
1979-07-01,205.855852843225
1979-08-01,149.79279401272535
1979-09-01,90.712090607211
1979-10-01,21.125161679908633
1979-11-01,-4.873729340434074
1979-12-01,-7.328564430624247
1980-01-01,-6.8774784936010835
1980-02-01,-4.006910109743476
1980-03-01,-1.9701610995829104
1980-04-01,-1.21907461874187
1980-05-01,2.8203316624090076
1980-06-01,24.694210134595632
1980-07-01,205.10036502927542
1980-08-01,145.083272934258
1980-09-01,93.70256320409476
1980-10-01,15.57348844271153
1980-11-01,-4.560294927358627
1980-12-01,-7.170153623558581
1981-01-01,-6.754978102520108
1981-02-01,-3.944064346440136
1981-03-01,-2.038165414594114
1981-04-01,-1.0904083047807216
1981-05-01,3.4469469555467365
1981-06-01,25.73551078494638
1981-07-01,205.5091548988223
1981-08-01,142.50797247797252
1981-09-01,111.54139616295694
1981-10-01,13.779779559411107
1981-11-01,-4.789965413324535
1981-12-01,-7.373013838492334
1982-01-01,-6.923337545022368
1982-02-01,-4.106731127686799
1982-03-01,-2.339450525678694
1982-04-01,-1.5142749375104902
1982-05-01,2.2598546813055873
1982-06-01,23.801354753673074
1982-07-01,206.13061502069235
1982-08-01,143.3650357583165
1982-09-01,109.45983603782952
1982-10-01,13.209184920862317
1982-11-01,-5.029466219320893
1982-12-01,-7.412047781199217
1983-01-01,-6.948927477151155
