Year,Rainfall,Month,SPI
1975-01-01,-5.913228216171264,1,1.4905242677452675
1975-02-01,-4.79396447405219,2,-1.8456273326161967
1975-03-01,-2.756096538193524,3,-1.5251425750756207
1975-04-01,-2.1470561535283923,4,-1.6927189733550438
1975-05-01,1.1827213650941848,5,-1.0146283480178415
1975-06-01,17.560707243420183,6,-2.5386045757135323
1975-07-01,180.08121346324685,7,-0.42095433591776177
1975-08-01,164.914990311563,8,1.110938275262738
1975-09-01,106.87143299542367,9,0.2725001208185903
1975-10-01,45.364141457825895,10,2.2306906489097176
1975-11-01,-2.1257965652644635,11,0.8880237693978638
1975-12-01,-7.512893072515726,12,-0.39641658767041094
1976-01-01,-7.400611752085387,1,-1.0563845005450614
1976-02-01,-5.072123993895948,2,-2.649214202880042
1976-03-01,-2.9017089987546205,3,-1.9808746918937854
1976-04-01,-1.8996417370811105,4,-1.1377178750914436
1976-05-01,1.3204303565248847,5,-0.8928453950935104
1976-06-01,21.291687233615665,6,-1.0192358177487482
1976-07-01,154.64829601973295,7,-1.2322190409595257
1976-08-01,164.6183499252796,8,1.0895244978171323
1976-09-01,92.43483729034662,9,-1.6772995136164355
1976-10-01,37.00760545246303,10,1.5167547473067995
1976-11-01,-0.4820811929926276,11,1.6742790634980733
1976-12-01,-6.056271542198956,12,1.2193007906165532
1977-01-01,-6.111004249081016,1,1.151864130522526
1977-02-01,-4.172599004507065,2,-0.05053819368519701
1977-03-01,-2.1230009412392974,3,0.45629497110985734
1977-04-01,-1.5467068805545567,4,-0.34601286533312586
1977-05-01,2.3840790968760848,5,0.04779241750277882
1977-06-01,23.60033011775464,6,-0.07908607674874603
1977-07-01,193.5814204788208,7,0.009678189305390352
1977-08-01,155.18646209567785,8,0.408658519298434
1977-09-01,112.00240707233549,9,0.9654869983232305
1977-10-01,36.88408078800887,10,1.5062014878425085
1977-11-01,-3.2888234858959917,11,0.3317011304827521
1977-12-01,-7.715979776941239,12,-0.6216849300709051
1978-01-01,-7.502903871797025,1,-1.2315435569215034
1978-02-01,-4.810859914049506,2,-1.8944372879856903
1978-03-01,-2.864358515255153,3,-1.863976626688355
1978-04-01,-1.867875740751624,4,-1.0664602535532126
1978-05-01,1.506716273277998,5,-0.7281034360194224
1978-06-01,21.22964770529419,6,-1.0445002044080773
1978-07-01,205.1533432877064,7,0.3788018875663938
1978-08-01,150.56191176146268,8,0.07482301940706854
1978-09-01,113.11192162498833,9,1.1153374972467436
1978-10-01,24.647793310545385,10,0.46080122547433505
1978-11-01,-4.947507447265088,11,-0.4617142429240502
1978-12-01,-7.706646381616592,12,-0.6113321179569886
1979-01-01,-7.218040939085185,1,-0.7437608945708751
1979-02-01,-4.322656743898988,2,-0.4840463807303695
1979-03-01,-2.3989496532082555,3,-0.4073583876361333
1979-04-01,-1.5451451171934605,4,-0.3425095109486776
1979-05-01,1.560583587475121,5,-0.6804658742242676
1979-06-01,21.742845850102604,6,-0.8355102795313865
1979-07-01,205.855852843225,7,0.40121068941197824
1979-08-01,149.79279401272535,8,0.01930220342083226
1979-09-01,90.712090607211,9,-1.909972847525807
1979-10-01,21.125161679908636,10,0.1598471952853145
1979-11-01,-4.873729340434074,11,-0.4264232016263101
1979-12-01,-7.328564430624247,12,-0.19195511032610005
1980-01-01,-6.877478493601084,1,-0.16060163698182753
1980-02-01,-4.006910109743476,2,0.42812750308957315
1980-03-01,-1.9701610995829104,3,0.9346470592746788
1980-04-01,-1.21907461874187,4,0.3889332535862368
1980-05-01,2.820331662409008,5,0.43359239395639226
1980-06-01,24.694210134595632,6,0.36637520337543766
1980-07-01,205.10036502927545,7,0.3771119756129159
1980-08-01,145.083272934258,8,-0.3206671362676053
1980-09-01,93.70256320409476,9,-1.5060810647739122
1980-10-01,15.57348844271153,10,-0.31445685072842794
1980-11-01,-4.560294927358627,11,-0.2764948923879839
1980-12-01,-7.170153623558581,12,-0.016242278573023468
1981-01-01,-6.754978102520108,1,0.04916088400196418
1981-02-01,-3.944064346440136,2,0.609685302264091
1981-03-01,-2.038165414594114,3,0.7218098452519037
1981-04-01,-1.0904083047807216,4,0.6775580903413833
1981-05-01,3.4469469555467365,5,0.987739657348853
1981-06-01,25.73551078494638,6,0.790424563047411
1981-07-01,205.5091548988223,7,0.39015164334582686
1981-08-01,142.50797247797252,8,-0.5065720682203952
1981-09-01,111.54139616295694,9,0.903223087846003
1981-10-01,13.779779559411107,10,-0.46770134916539113
1981-11-01,-4.789965413324535,11,-0.38635554012268136
1981-12-01,-7.373013838492334,12,-0.2412593937327962
1982-01-01,-6.923337545022368,1,-0.23912800045845478
1982-02-01,-4.106731127686799,2,0.13975031779430627
1982-03-01,-2.339450525678694,3,-0.22114037282205334
1982-04-01,-1.5142749375104902,4,-0.2732613892197088
1982-05-01,2.2598546813055878,5,-0.06206545013753123
1982-06-01,23.801354753673078,6,0.0027772814569662204
1982-07-01,206.13061502069235,7,0.40997511281541815
1982-08-01,143.3650357583165,8,-0.44470266947792747
1982-09-01,109.45983603782952,9,0.6220885839822805
1982-10-01,13.209184920862317,10,-0.5164497776363142
1982-11-01,-5.029466219320893,11,-0.5009184260289168
1982-12-01,-7.412047781199217,12,-0.28455672132402954
1983-01-01,-6.948927477151155,1,-0.28294670689499457
1983-02-01,-4.080667933933436,2,0.21504538700174858
1983-03-01,-2.2292380346357823,3,0.12379832026262683
1983-04-01,-1.4126014383509755,4,-0.04518695237759527
1983-05-01,2.16425245270133,5,-0.14661128541389035
1983-06-01,23.797210334017876,6,0.0010895474673562025
1983-07-01,205.63431231588123,7,0.3941439417229054
1983-08-01,144.05875616937874,8,-0.394624611402016
