Year,Rainfall,Month,Precipitation_Anomaly,SPAI
1976-03-01,-2.9017089987546205,3,-0.6329157575368884,-1.9808746918937854
1976-04-01,-1.8996417370811105,4,-0.5071842290547992,-1.1377178750914427
1976-05-01,1.3204303565248847,5,-1.0096063193529847,-0.8928453950935104
1976-06-01,21.291687233615665,6,-2.50284759468461,-1.019235817748748
1976-07-01,154.64829601973295,7,-38.629715980847635,-1.2322190409595257
1976-08-01,164.6183499252796,8,15.092945124636088,1.0895244978171303
1976-09-01,92.43483729034662,9,-12.418965788461236,-1.677299513616436
1976-10-01,37.00760545246303,10,17.75343644816988,1.5167547473067995
1976-11-01,-0.4820811929926276,11,3.5001840430138,1.6742790634980733
1976-12-01,-6.056271542198956,12,1.0992391413326068,1.2193007906165545
1977-01-01,-6.111004249081016,1,0.6726835938058793,1.151864130522527
1977-02-01,-4.172599004507065,2,-0.017493665227045874,-0.050538193685196874
1977-03-01,-2.1230009412392974,3,0.14579229997843468,0.4562949711098585
1977-04-01,-1.5467068805545567,4,-0.15424937252824544,-0.34601286533312586
1977-05-01,2.3840790968760848,5,0.054042420998215324,0.04779241750277882
