YEAR,MONTH,Datetime,Rainfall,Precipitation_Anomaly,SPAI
1906,Apr,01-04-1906,0.0,-4.327457142857143,-0.6104122330387941
1906,May,01-05-1906,1.453,-8.307614285714285,-0.7731032116331426
1906,Jun,01-06-1906,77.553,27.460599999999992,0.6004362673848318
1906,Jul,01-07-1906,168.178,-44.85752857142856,-0.4376178353220805
1906,Aug,01-08-1906,68.096,-103.13480000000004,-1.1100042057466633
1906,Sep,01-09-1906,141.961,51.54642857142858,0.7899474257751554
1906,Oct,01-10-1906,0.002,-7.541885714285715,-0.6900325858954689
1906,Nov,01-11-1906,0.0,-5.650599999999999,-0.5152376445279412
1906,Dec,01-12-1906,23.455,19.300314285714286,2.9496418157956072
1907,Jan,01-01-1907,4.772,-0.6140285714285714,-0.11171670272740264
1907,Feb,01-02-1907,37.154,30.811757142857147,3.15973651555935
1907,Mar,01-03-1907,1.614,-3.2168857142857137,-0.44597476222111
1907,Apr,01-04-1907,20.9,16.572542857142857,2.3376506245144903
1907,May,01-05-1907,8.071,-1.6896142857142848,-0.1572348192613087
1907,Jun,01-06-1907,8.538,-41.5544,-0.9086024642366249
1907,Jul,01-07-1907,77.733,-135.30252857142855,-1.3199746297379846
1907,Aug,01-08-1907,268.136,96.90519999999998,1.0429571740937253
1907,Sep,01-09-1907,0.861,-89.55357142857143,-1.37240571615825
1907,Oct,01-10-1907,0.0,-7.5438857142857145,-0.6902155726475988
1907,Nov,01-11-1907,0.026,-5.624599999999999,-0.5128668911994935
1907,Dec,01-12-1907,0.0,-4.154685714285714,-0.6349551894818942
1908,Jan,01-01-1908,17.175,11.788971428571429,2.1448920747831433
1908,Feb,01-02-1908,0.939,-5.403242857142857,-0.5541009452655439
