Year,Rainfall,Month,Precipitation_Anomaly,SPAI
1977-08-01,178.6955915907143,8,0.33821651208353387,0.9655004694249857
1977-09-01,92.9378301388536,9,0.17590310129968145,0.9655004693601807
1977-10-01,8.062380431756502,10,0.015259638832576528,0.9655004693573865
1977-11-01,5.827038346109468,11,0.01102881479951101,0.965500469352897
1977-12-01,3.598134424779695,12,0.006810176257228573,0.9655004693525616
1978-01-01,5.242856439243533,1,0.015323313032287622,0.4480906577529758
1978-02-01,5.245123409867801,2,0.009118410621579365,0.9256428097241787
1978-03-01,5.357418678944634,3,0.008966486639264026,0.8562633318456497
1978-04-01,3.2588871450761614,4,0.005443393329636503,0.8521171679827423
1978-05-01,9.936999420876496,5,0.016594781782634627,0.8517127383681673
1978-06-01,46.24590220293602,6,0.07723035301368952,0.8517054373118871
1978-07-01,221.7664246728393,7,0.3703484578032885,0.8517053515076857
1978-08-01,178.6557289604983,8,0.2983538818675413,0.8517053505854206
1978-09-01,92.91709797460194,9,0.15517093704802676,0.8517053505252691
1978-10-01,8.060581911228093,10,0.01346111830416774,0.8517053505226945
1978-11-01,5.825738475906864,11,0.00972894459690643,0.8517053505185408
1978-12-01,3.5973317687053856,12,0.006007520182919279,0.8517053505182017
1979-01-01,5.241686885783076,1,0.014153759571830626,0.4138900917089873
1979-02-01,5.243953350701462,2,0.007948351455240754,0.8068658759776259
1979-03-01,5.356223569441315,3,0.007771377135945556,0.7421351915380825
1979-04-01,3.2581601667997333,4,0.0047164150532084115,0.7383148699341697
1979-05-01,9.934782718551356,5,0.014378079457493698,0.7379424199498545
1979-06-01,46.23558586954407,6,0.06691401962173416,0.7379356965275448
1979-07-01,221.7169539897499,7,0.32087777471389245,0.7379356175120442
1979-08-01,178.61587522266325,8,0.2585001440324959,0.737935616662534
1979-09-01,92.89637043519072,9,0.1344433976368009,0.7379356166072337
1979-10-01,8.05878379190577,10,0.011662998981844197,0.7379356166048971
1979-11-01,5.824438895673612,11,0.008429364363655267,0.7379356166010503
1979-12-01,3.5965292916840794,12,0.0052050431616130766,0.7379356166007647
1980-01-01,5.240517593221485,1,0.012984467010239698,0.37969715497755396
1980-02-01,5.2427835525468,2,0.006778553300578416,0.6881154384694447
1980-03-01,5.3550287265377925,3,0.0065765342324226594,0.6280325104363793
1980-04-01,3.257433350694436,4,0.003989598947911066,0.6245379584039491
1980-05-01,9.932566510718466,5,0.012161871624604359,0.6241974809161711
1980-06-01,46.2252718374746,6,0.056599987552267805,0.6241913349989013
1980-07-01,221.66749434236385,7,0.2714181273278484,0.6241912627704662
1980-08-01,178.5760303752256,8,0.2186552965948465,0.6241912619939199
1980-09-01,92.87564751958824,9,0.11372048203432428,0.6241912619433708
1980-10-01,8.056986073700031,10,0.009865280776105934,0.6241912619411962
1980-11-01,5.82313960534503,11,0.007130074035073264,0.6241912619377441
1980-12-01,3.5957269936758336,12,0.004402745153367249,0.6241912619374441
1981-01-01,5.239348561500559,1,0.011815435289313392,0.34551184585672495
1981-02-01,5.241614015345588,2,0.005609016099366926,0.5693914912889608
1981-03-01,5.353834150174594,3,0.005381957869223797,0.5139552828612479
1981-04-01,3.2567066967240934,4,0.003262944977568516,0.5107864277290411
1981-05-01,9.930350797267517,5,0.009946158173654851,0.5104779156054615
1981-06-01,46.21496010621425,6,0.04628825629191624,0.5104723470644064
1981-07-01,221.6180457282194,7,0.22196951318341007,0.510472281621574
1981-08-01,178.53619441620208,8,0.1788193375713263,0.5104722809179828
1981-09-01,92.85492922676303,9,0.09300218920911618,0.5104722808720686
1981-10-01,8.0551887565214,10,0.008067963597474304,0.5104722808701425
1981-11-01,5.821840604856447,11,0.005831073546489485,0.5104722808671045
1981-12-01,3.594924874640715,12,0.003600626118248851,0.5104722808668192
1982-01-01,5.238179790562111,1,0.010646664350865365,0.31133416264499103
1982-02-01,5.240444739039615,2,0.004439739793394182,0.4506940285268545
1982-03-01,5.35263984029226,3,0.004187647986889864,0.39990350313458367
1982-04-01,3.2559802048525373,4,0.0025364531060123596,0.3970602722475892
1982-05-01,9.928135578088224,5,0.007730938994361836,0.3967837183575303
1982-06-01,46.204650675249766,6,0.03597882532743313,0.39677872706391826
1982-07-01,221.5686081448553,7,0.17253192981928578,0.39677866840503484
1982-08-01,178.49636734360988,8,0.1389922649791231,0.3967786677744247
1982-09-01,92.83421555568393,9,0.07228851813000858,0.39677866773343107
1982-10-01,8.053391840280415,10,0.0062710473564902,0.3967786677315228
1982-11-01,5.820541894143204,11,0.0045323628332472055,0.3967786677288598
1982-12-01,3.5941229345387997,12,0.0027986860163333738,0.3967786677286643
1983-01-01,5.237011280347967,1,0.009478154136721706,0.27716410364120697
1983-02-01,5.239275723570682,2,0.0032707243244605166,0.3320230442750668
1983-03-01,5.351445796831345,3,0.00299360452597508,0.28587716557955384
1983-04-01,3.255253875043607,4,0.001810123297082189,0.2833594862989872
1983-05-01,9.925920853070329,5,0.005516213976466844,0.2831148835134569
1983-06-01,46.194343544068005,6,0.02567169414567161,0.28311046933839323
1983-07-01,221.51918158981087,7,0.12310537477486605,0.2831104174620864
1983-08-01,178.45654915546666,8,0.09917407683590795,0.2831104169043277
1983-09-01,92.81350650531984,9,0.05157946776591871,0.2831104168680302
1983-10-01,8.05159532488764,10,0.004474531963714057,0.2831104168663599
1983-11-01,5.819243473140662,11,0.0032339418307048007,0.28311041686405847
1983-12-01,3.59332117333017,12,0.0019969248077038593,0.2831104168638247
1984-01-01,5.235843030799965,1,0.008309904588720052,0.24300166714456486
1984-02-01,5.238106968880601,2,0.0021019696343795857,0.21337853262689155
1984-03-01,5.350252019732418,3,0.0017998274270478731,0.1718762645206833
1984-04-01,3.2545277072611505,4,0.0010839555146255897,0.16968406422388022
1984-05-01,9.923706622103593,5,0.0033019830097309466,0.16947140541532452
1984-06-01,46.18403871215594,6,0.015366862233605616,0.1694675682301192
1984-07-01,221.46976606062591,7,0.07368984558991087,0.16946752313481403
1984-08-01,178.41673984979053,8,0.05936477115977823,0.16946752264999113
1984-09-01,92.79280207464004,9,0.03087503708611905,0.1694675226183886
1984-10-01,8.049799210253653,10,0.0026784173297276226,0.16946752261702586
1984-11-01,5.817945341784192,11,0.0019358104742348559,0.1694675226149943
1984-12-01,3.592519590974921,12,0.001195342452454451,0.16946752261471962
1985-01-01,5.234675041859958,1,0.0071419156487131374,0.2088468514546982
1985-02-01,5.236938474911199,2,0.0009334756649774789,0.09476048767688508
1985-03-01,5.34905850893606,3,0.0006063166306899959,0.05790079428376862
1985-04-01,3.253801701469024,4,0.0003579497224990291,0.056034000364304566
1985-05-01,9.921492885077804,5,0.0010882459839418601,0.05585327840658332
1985-06-01,46.17373617900066,6,0.005064329078329877,0.05585001808271639
1985-07-01,221.42036155484087,7,0.02428533980486236,0.055849979766873656
1985-08-01,178.3769394246,8,0.0195643459692576,0.05584997935493027
1985-09-01,92.772102262614,9,0.010175225060081061,0.055849979328120726
1985-10-01,8.048003496289054,10,0.0008827033651286342,0.05584997932690381
1985-11-01,5.816647500009181,11,0.0006379686992241673,0.05584997932520441
1985-12-01,3.5917181874331545,12,0.0003939389106881741,0.05584997932502715
1986-01-01,5.2335073134698105,1,0.0059741872585652445,0.17469965487157793
1986-02-01,5.235770241604316,2,-0.00023475764190550308,-0.023831096478953963
1986-03-01,5.347865264382865,3,-0.0005869279225052537,-0.05604925080429079
1986-04-01,3.2530758576310914,4,-0.00036789411543347583,-0.05759071093652271
1986-05-01,9.91927964188278,5,-0.0011249972110825013,-0.05773950316776626
1986-06-01,46.16343594408937,6,-0.005235905832961407,-0.057742186759098195
1986-07-01,221.37096806999668,7,-0.02510814503932579,-0.057742218296903625
1986-08-01,178.3371478779141,8,-0.020227200716647076,-0.05774221863595925
1986-09-01,92.7514070682114,9,-0.010519969342510649,-0.05774221865798988
1986-10-01,8.046208182904465,10,-0.0009126100194603026,-0.05774221865904916
1986-11-01,5.815349947751032,11,-0.0006595835589253696,-0.05774221866045158
1986-12-01,3.590916962664981,12,-0.00040728585748528445,-0.057742218660630125
1987-01-01,5.232339845571399,1,0.004806719360153977,0.1405600756955656
1987-02-01,5.234602268901804,2,-0.0014027303444175132,-0.14239622574345448
1987-03-01,5.34667228601344,3,-0.0017799062919294784,-0.16997387641515352
1987-04-01,3.252350175711224,4,-0.0010935760353008028,-0.17119007533427127
